,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
97,6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
101,6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
102,6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
104,6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
108,6107500,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
109,6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
110,6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
111,6090000,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
113,6083000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
114,6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
115,6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
119,5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
120,5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
122,5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
124,5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished
125,5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
126,5880000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
128,5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
129,5873000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
134,5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
136,5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
137,5740000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
139,5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
141,5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
142,5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
144,5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
146,5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
147,5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
151,5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
154,5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
155,5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
157,5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
158,5495000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
164,5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
166,5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
167,5285000,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
171,5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
172,5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
174,5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
175,5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
176,5250000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
178,5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
179,5215000,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
180,5215000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
181,5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
183,5145000,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
190,5040000,7600,4,1,2,yes,no,no,no,yes,2,no,furnished
195,4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
197,4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
199,4907000,4200,3,1,2,yes,no,no,no,no,1,no,furnished
202,4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
205,4900000,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
210,4900000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
211,4900000,12900,3,1,1,yes,no,no,no,no,2,no,furnished
212,4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
216,4830000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
217,4830000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
220,4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
222,4760000,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
223,4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
224,4760000,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
225,4753000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
227,4690000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
228,4690000,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
229,4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
234,4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
235,4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
239,4585000,4000,3,1,2,yes,no,no,no,no,1,no,furnished
240,4585000,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
241,4550000,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
245,4550000,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
247,4550000,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
251,4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
254,4480000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
255,4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
256,4480000,4000,3,1,2,yes,no,no,no,no,2,no,furnished
258,4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
259,4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
260,4473000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
266,4403000,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
267,4403000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
270,4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
272,4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
273,4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished
276,4305000,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
277,4305000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
278,4277000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
281,4270000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
284,4270000,7770,2,1,1,yes,no,no,no,no,1,no,furnished
289,4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
293,4200000,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
296,4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
298,4200000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
299,4200000,7000,3,1,1,yes,no,no,no,no,3,no,furnished
302,4200000,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
304,4193000,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
305,4193000,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
306,4165000,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
307,4165000,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
308,4165000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
311,4123000,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
314,4095000,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
316,4060000,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished
317,4060000,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished
319,4060000,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
320,4060000,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
321,4025000,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
322,4025000,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
323,4025000,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
327,3990000,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
331,3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
334,3920000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
335,3920000,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
336,3920000,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
341,3850000,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
350,3780000,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
352,3780000,5830,2,1,1,yes,no,no,no,no,2,no,unfurnished
354,3780000,8400,2,1,1,yes,no,no,no,no,1,no,furnished
355,3773000,8250,3,1,1,yes,no,no,no,no,2,no,furnished
356,3773000,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
357,3773000,6930,4,1,2,no,no,no,no,no,1,no,furnished
359,3710000,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished
370,3640000,4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished
376,3640000,4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished
379,3633000,3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished
383,3570000,4500,4,2,2,yes,no,yes,no,no,2,no,furnished
386,3535000,3850,3,1,1,yes,no,no,no,no,2,no,unfurnished
395,3500000,3600,6,1,2,yes,no,no,no,no,1,no,unfurnished
396,3500000,3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished
397,3500000,5900,2,1,1,yes,no,no,no,no,1,no,furnished
398,3500000,3120,3,1,2,yes,no,no,no,no,1,no,unfurnished
399,3500000,7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished
400,3500000,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished
401,3500000,9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished
406,3465000,5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished
409,3430000,3185,2,1,1,yes,no,no,no,no,2,no,unfurnished
415,3395000,4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished
416,3395000,3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished
418,3360000,3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished
425,3360000,3185,2,1,1,yes,no,yes,no,no,2,no,furnished
428,3325000,4040,2,1,1,yes,no,no,no,no,1,no,unfurnished
433,3290000,3480,4,1,2,no,no,no,no,no,1,no,semi-furnished
437,3290000,5880,3,1,1,yes,no,no,no,no,1,no,unfurnished
442,3220000,2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished
443,3220000,4320,3,1,1,no,no,no,no,no,1,no,unfurnished
446,3150000,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished
448,3150000,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished
452,3150000,9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished
453,3150000,3069,2,1,1,yes,no,no,no,no,1,no,unfurnished
460,3087000,8100,2,1,1,yes,no,no,no,no,1,no,unfurnished
464,3080000,4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
467,3010000,3240,3,1,2,yes,no,no,no,no,2,no,semi-furnished
472,3010000,3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished
474,2975000,4352,4,1,2,no,no,no,no,no,1,no,unfurnished
476,2940000,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished
478,2940000,3600,3,1,2,no,no,no,no,no,1,no,unfurnished
480,2940000,3480,3,1,2,no,no,no,no,no,1,no,semi-furnished
489,2835000,3300,3,1,2,no,no,no,no,no,1,no,semi-furnished
490,2835000,4350,3,1,2,no,no,no,yes,no,1,no,unfurnished
491,2835000,2640,2,1,1,no,no,no,no,no,1,no,furnished
492,2800000,2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished
495,2730000,4000,3,1,2,yes,no,no,no,no,1,no,unfurnished
502,2660000,3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished
509,2590000,3600,2,2,2,yes,no,yes,no,no,1,no,furnished
516,2450000,3240,2,1,1,no,yes,no,no,no,1,no,unfurnished
517,2450000,3000,2,1,1,yes,no,no,no,no,1,no,unfurnished
535,2100000,3360,2,1,1,yes,no,no,no,no,1,no,unfurnished
539,1855000,2990,2,1,1,no,no,no,no,no,1,no,unfurnished
540,1820000,3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished
