,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
72,6720000,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
73,6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
76,6650000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
77,6650000,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
78,6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
80,6629000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
82,6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
86,6510000,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
88,6475000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
91,6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
96,6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
97,6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
98,6293000,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
99,6265000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
100,6230000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
101,6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
104,6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
106,6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
107,6125000,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
110,6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
113,6083000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
115,6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
116,6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
118,5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
119,5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
120,5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
121,5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
122,5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
126,5880000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
129,5873000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
134,5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
139,5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
141,5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
148,5600000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
149,5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
150,5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
151,5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
152,5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
155,5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
156,5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
161,5460000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
162,5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
163,5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
164,5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
166,5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
171,5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
172,5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
173,5250000,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
174,5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
177,5243000,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
178,5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
181,5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
183,5145000,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
186,5110000,11410,2,1,2,yes,no,no,no,no,0,yes,furnished
187,5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
188,5075000,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
192,5040000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
216,4830000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
217,4830000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
218,4830000,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
224,4760000,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
230,4690000,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
231,4690000,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
236,4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
240,4585000,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
244,4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
245,4550000,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
246,4550000,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
249,4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
253,4515000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
265,4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
266,4403000,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
277,4305000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
278,4277000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
286,4235000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
301,4200000,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
302,4200000,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
312,4098500,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
320,4060000,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
330,3990000,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
337,3920000,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
345,3850000,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
346,3850000,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
353,3780000,2856,3,1,3,yes,no,no,no,no,0,yes,furnished
358,3745000,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
377,3640000,2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished
378,3640000,2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished
379,3633000,3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished
381,3605000,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
400,3500000,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished
401,3500000,9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished
406,3465000,5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished
407,3465000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
411,3430000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
412,3430000,2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
413,3430000,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
427,3332000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
436,3290000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
456,3118850,2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
531,2233000,5300,3,1,1,no,no,no,no,yes,0,yes,unfurnished
