,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
95,6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
96,6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
97,6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
102,6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
103,6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
104,6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
106,6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
108,6107500,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
109,6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
110,6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
112,6083000,4300,6,2,2,yes,no,no,no,no,0,no,furnished
113,6083000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
114,6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
115,6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
117,5950000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
118,5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
119,5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
120,5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
121,5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
122,5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
123,5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished
124,5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished
125,5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
128,5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
129,5873000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
131,5810000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
132,5810000,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
134,5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
137,5740000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
138,5740000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
139,5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
141,5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
142,5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
144,5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
145,5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished
146,5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
147,5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
148,5600000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
149,5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
151,5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
152,5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
153,5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
154,5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
155,5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
156,5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
157,5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
158,5495000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
159,5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
160,5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
161,5460000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
162,5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
163,5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
164,5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
167,5285000,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
168,5250000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
169,5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
170,5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
171,5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
175,5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
176,5250000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
177,5243000,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
178,5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
179,5215000,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
180,5215000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
181,5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
182,5145000,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
183,5145000,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
184,5110000,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
186,5110000,11410,2,1,2,yes,no,no,no,no,0,yes,furnished
187,5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
189,5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
190,5040000,7600,4,1,2,yes,no,no,no,yes,2,no,furnished
191,5040000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
192,5040000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
193,5033000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
194,5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
195,4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
196,4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
197,4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
198,4935000,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
199,4907000,4200,3,1,2,yes,no,no,no,no,1,no,furnished
200,4900000,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
201,4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
202,4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
203,4900000,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
204,4900000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
205,4900000,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
206,4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
207,4900000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
208,4900000,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished
210,4900000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
211,4900000,12900,3,1,1,yes,no,no,no,no,2,no,furnished
212,4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
213,4893000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
216,4830000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
217,4830000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
218,4830000,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
220,4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
221,4767000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
222,4760000,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
223,4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
225,4753000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
226,4690000,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
227,4690000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
228,4690000,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
229,4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
230,4690000,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
231,4690000,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
232,4655000,3745,3,1,2,yes,no,yes,no,no,0,no,furnished
234,4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
235,4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
236,4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
237,4620000,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
238,4613000,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
239,4585000,4000,3,1,2,yes,no,no,no,no,1,no,furnished
240,4585000,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
241,4550000,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
242,4550000,3640,3,1,2,yes,no,no,no,yes,0,no,furnished
243,4550000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
244,4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
246,4550000,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
248,4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
249,4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
250,4515000,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
251,4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
252,4515000,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
253,4515000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
254,4480000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
256,4480000,4000,3,1,2,yes,no,no,no,no,2,no,furnished
257,4480000,8250,3,1,1,yes,no,no,no,no,0,no,furnished
258,4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
259,4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
260,4473000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
261,4473000,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
262,4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
263,4410000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
264,4410000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
265,4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
267,4403000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
268,4382000,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
270,4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
271,4340000,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished
272,4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
273,4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished
274,4340000,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished
275,4319000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
276,4305000,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
277,4305000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
278,4277000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
279,4270000,6360,2,1,1,yes,no,no,no,no,0,no,furnished
281,4270000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
283,4270000,4360,4,1,2,yes,no,no,no,no,0,no,furnished
284,4270000,7770,2,1,1,yes,no,no,no,no,1,no,furnished
285,4235000,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
286,4235000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
289,4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
290,4200000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
292,4200000,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
294,4200000,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
295,4200000,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
296,4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
298,4200000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
299,4200000,7000,3,1,1,yes,no,no,no,no,3,no,furnished
300,4200000,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
301,4200000,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
303,4200000,4500,3,1,1,yes,no,yes,no,no,0,no,furnished
304,4193000,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
305,4193000,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
306,4165000,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
307,4165000,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
308,4165000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
309,4130000,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
310,4130000,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
311,4123000,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
312,4098500,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
313,4095000,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
314,4095000,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
315,4095000,5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
318,4060000,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished
319,4060000,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
320,4060000,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
321,4025000,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
322,4025000,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
323,4025000,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
324,4007500,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
325,4007500,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
327,3990000,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
328,3990000,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
329,3990000,3960,3,1,2,yes,no,no,no,no,0,no,furnished
331,3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
332,3920000,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
333,3920000,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
334,3920000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
335,3920000,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
336,3920000,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
338,3885000,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
339,3885000,3180,4,2,2,yes,no,no,no,no,0,no,furnished
340,3850000,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
341,3850000,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
342,3850000,7152,3,1,2,yes,no,no,no,yes,0,no,furnished
343,3850000,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished
344,3850000,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
345,3850000,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
346,3850000,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
348,3815000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
349,3780000,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished
350,3780000,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
351,3780000,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
353,3780000,2856,3,1,3,yes,no,no,no,no,0,yes,furnished
354,3780000,8400,2,1,1,yes,no,no,no,no,1,no,furnished
355,3773000,8250,3,1,1,yes,no,no,no,no,2,no,furnished
356,3773000,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
357,3773000,6930,4,1,2,no,no,no,no,no,1,no,furnished
358,3745000,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
360,3710000,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished
361,3710000,6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished
362,3710000,4050,2,1,1,yes,no,no,no,no,0,no,furnished
363,3710000,3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished
364,3703000,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
365,3703000,5450,2,1,1,yes,no,no,no,no,0,no,furnished
366,3675000,3630,2,1,1,yes,no,yes,no,no,0,no,furnished
368,3675000,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished
369,3675000,3600,2,1,1,yes,no,no,no,no,0,no,furnished
370,3640000,4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished
371,3640000,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
372,3640000,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished
373,3640000,3000,2,1,2,yes,no,no,no,yes,0,no,furnished
374,3640000,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished
376,3640000,4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished
378,3640000,2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished
380,3605000,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
381,3605000,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
382,3570000,3150,3,1,2,yes,no,yes,no,no,0,no,furnished
383,3570000,4500,4,2,2,yes,no,yes,no,no,2,no,furnished
384,3570000,4500,2,1,1,no,no,no,no,no,0,no,furnished
387,3500000,4240,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
389,3500000,4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished
391,3500000,3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
392,3500000,3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished
396,3500000,3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished
397,3500000,5900,2,1,1,yes,no,no,no,no,1,no,furnished
399,3500000,7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished
407,3465000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
411,3430000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
415,3395000,4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished
417,3395000,3640,2,1,1,yes,no,no,no,no,0,no,furnished
419,3360000,4960,4,1,3,no,no,no,no,no,0,no,semi-furnished
424,3360000,3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished
425,3360000,3185,2,1,1,yes,no,yes,no,no,2,no,furnished
426,3353000,2700,3,1,1,no,no,no,no,no,0,no,furnished
427,3332000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
432,3290000,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished
433,3290000,3480,4,1,2,no,no,no,no,no,1,no,semi-furnished
434,3290000,3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished
436,3290000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
438,3255000,4500,2,1,1,no,no,no,no,no,0,no,semi-furnished
444,3220000,3120,3,1,2,no,no,no,no,no,0,no,furnished
445,3150000,3450,1,1,1,yes,no,no,no,no,0,no,furnished
447,3150000,3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished
448,3150000,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished
450,3150000,3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
451,3150000,6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished
452,3150000,9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished
456,3118850,2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
462,3080000,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished
464,3080000,4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
466,3010000,3090,3,1,2,no,no,no,no,no,0,no,semi-furnished
467,3010000,3240,3,1,2,yes,no,no,no,no,2,no,semi-furnished
468,3010000,2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished
469,3010000,4600,2,1,1,yes,no,no,no,no,0,no,furnished
472,3010000,3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished
475,2961000,3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
480,2940000,3480,3,1,2,no,no,no,no,no,1,no,semi-furnished
481,2940000,2700,2,1,1,no,no,no,no,no,0,no,furnished
483,2940000,6615,3,1,2,yes,no,no,no,no,0,no,semi-furnished
486,2870000,6000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
489,2835000,3300,3,1,2,no,no,no,no,no,1,no,semi-furnished
491,2835000,2640,2,1,1,no,no,no,no,no,1,no,furnished
493,2800000,3960,3,1,1,yes,no,no,no,no,0,no,furnished
498,2660000,2000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
502,2660000,3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished
503,2660000,4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
509,2590000,3600,2,2,2,yes,no,yes,no,no,1,no,furnished
512,2520000,3000,2,1,2,yes,no,no,no,no,0,no,furnished
514,2485000,3000,3,1,2,no,no,no,no,no,0,no,semi-furnished
522,2380000,2475,3,1,2,yes,no,no,no,no,0,no,furnished
523,2380000,2787,4,2,2,yes,no,no,no,no,0,no,furnished
527,2275000,1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished
541,1767150,2400,3,1,1,no,no,no,no,no,0,no,semi-furnished
543,1750000,2910,3,1,1,no,no,no,no,no,0,no,furnished
