,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
100,6230000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
104,6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
106,6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
107,6125000,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
110,6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
113,6083000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
114,6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
115,6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
116,6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
118,5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
119,5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
120,5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
121,5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
122,5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
126,5880000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
130,5866000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
134,5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
139,5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
141,5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
143,5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
144,5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
149,5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
150,5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
152,5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
153,5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
155,5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
156,5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
157,5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
159,5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
162,5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
163,5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
164,5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
165,5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
166,5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
168,5250000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
170,5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
172,5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
174,5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
177,5243000,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
178,5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
180,5215000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
181,5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
184,5110000,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
185,5110000,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
187,5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
189,5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
191,5040000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
192,5040000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
193,5033000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
194,5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
195,4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
196,4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
197,4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
200,4900000,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
201,4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
202,4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
204,4900000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
206,4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
207,4900000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
210,4900000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
212,4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
213,4893000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
214,4865000,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
219,4795000,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
220,4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
222,4760000,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
223,4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
227,4690000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
229,4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
232,4655000,3745,3,1,2,yes,no,yes,no,no,0,no,furnished
233,4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
234,4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
236,4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
237,4620000,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
238,4613000,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
243,4550000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
244,4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
248,4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
249,4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
251,4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
259,4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
262,4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
264,4410000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
271,4340000,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished
272,4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
275,4319000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
278,4277000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
282,4270000,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
286,4235000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
288,4200000,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
289,4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
291,4200000,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
297,4200000,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
303,4200000,4500,3,1,1,yes,no,yes,no,no,0,no,furnished
304,4193000,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
308,4165000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
310,4130000,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
311,4123000,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
312,4098500,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
316,4060000,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished
319,4060000,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
322,4025000,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
324,4007500,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
326,3990000,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
328,3990000,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
330,3990000,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
331,3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
332,3920000,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
335,3920000,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
337,3920000,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
338,3885000,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
341,3850000,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
345,3850000,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
348,3815000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
356,3773000,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
364,3703000,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
366,3675000,3630,2,1,1,yes,no,yes,no,no,0,no,furnished
371,3640000,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
372,3640000,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished
374,3640000,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished
375,3640000,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished
377,3640000,2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished
382,3570000,3150,3,1,2,yes,no,yes,no,no,0,no,furnished
383,3570000,4500,4,2,2,yes,no,yes,no,no,2,no,furnished
391,3500000,3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
412,3430000,2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
413,3430000,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
415,3395000,4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished
416,3395000,3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished
424,3360000,3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished
425,3360000,3185,2,1,1,yes,no,yes,no,no,2,no,furnished
427,3332000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
431,3290000,3180,4,1,2,yes,no,yes,no,yes,0,no,unfurnished
432,3290000,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished
436,3290000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
440,3234000,3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished
446,3150000,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished
447,3150000,3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished
449,3150000,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished
450,3150000,3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
455,3129000,5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished
461,3080000,4960,2,1,1,yes,no,yes,no,yes,0,no,unfurnished
462,3080000,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished
463,3080000,3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished
476,2940000,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished
492,2800000,2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished
509,2590000,3600,2,2,2,yes,no,yes,no,no,1,no,furnished
515,2450000,3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished
527,2275000,1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished
529,2275000,3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished
540,1820000,3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished
